City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
327,Alice Springs,AU,78.8,clear sky,-23.7,133.88,Desert Palms Alice Springs
331,Bandarbeyla,SO,79.83,few clouds,9.49,50.81,REER XOOSHLE GROUP
334,Baracoa,CU,80.91,light rain,20.35,-74.5,Hostal Rio Miel
335,Pacific Grove,US,79.0,clear sky,36.62,-121.92,Lovers Point Inn
337,Ixtapa,MX,89.01,scattered clouds,20.7,-105.2,Container Inn Puerto Vallarta
338,Tharad,IN,82.65,clear sky,24.4,71.63,Shree Nandan Couriyar Service
341,Mecca,SA,75.94,clear sky,21.43,39.83,Hotel Fairmont Makkah Clock Royal Tower
342,Pizarro,CO,78.84,light rain,4.95,-77.37,"Playa Pizarro, Bajo Baudó, Chocó, Colombia"
345,Ondjiva,AO,75.43,scattered clouds,-17.07,15.73,SOS Motel
348,Yajalon,MX,87.8,few clouds,17.23,-92.33,"SACLUMIL DOS, YAJALON"
352,Laguna,US,89.01,clear sky,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
355,Gushikawa,JP,75.2,light rain,26.35,127.87,Kirari Guest House
357,Papara,BR,81.0,scattered clouds,-3.98,-38.73,Bela vista Maranguape
364,Pampa,US,82.4,clear sky,35.54,-100.96,Holiday Inn Express & Suites Pampa
368,Gainesville,US,80.6,clear sky,29.65,-82.32,Wyndham Garden Gainesville
370,Moroni,KM,79.16,clear sky,-11.7,43.26,Hotel les Arcades
374,Sao Felix Do Xingu,BR,83.3,broken clouds,-6.64,-51.99,Apart Hotel Rio Xingu
375,Nishihara,JP,75.2,light intensity shower rain,26.18,127.76,Minshuku Agaihama
376,Havelock,US,75.99,overcast clouds,34.88,-76.9,Sherwood Motel
378,Ahuimanu,US,82.4,overcast clouds,21.44,-157.84,Paradise Bay Resort
379,Sorong,ID,78.42,overcast clouds,-0.88,131.25,The Waigo Hotel
382,Nuqui,CO,79.41,light rain,5.71,-77.27,Hotel Nuquimar
386,Touros,BR,75.2,shower rain,-5.2,-35.46,INN NEW HORIZON
391,Texarkana,US,86.0,few clouds,33.43,-94.05,Holiday Inn Express & Suites Texarkana
392,Acapulco,MX,87.8,broken clouds,16.86,-99.89,HS Hotsson Smart Acapulco
394,Oranjestad,AW,87.8,scattered clouds,12.52,-70.03,Divi Village Golf & Beach Resort
397,Elk City,US,84.2,clear sky,35.41,-99.4,Hampton Inn & Suites Elk City
400,Obidos,BR,83.79,light rain,-1.92,-55.52,Hotel Amazônia Center
402,Lethem,GY,89.19,broken clouds,3.38,-59.8,Savannah Inn
403,Umm Lajj,SA,85.35,clear sky,25.02,37.27,Moon light Furnished Units
407,Sao Joao Da Barra,BR,77.0,scattered clouds,-21.64,-41.05,Pousada Porto De Canoas
410,Gaoual,GN,77.74,overcast clouds,11.75,-13.2,Hotel koliba
415,Bonthe,SL,78.31,light rain,7.53,-12.51,Bonthe Holiday Village
420,Pauini,BR,78.22,light rain,-7.71,-66.98,Casa do Kiwliks
422,Yulara,AU,75.2,broken clouds,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
423,Porto Seguro,BR,78.8,scattered clouds,-16.45,-39.06,Porto Cálem Praia Hotel
426,Sibolga,ID,75.83,moderate rain,1.74,98.78,Hotel Syariah CN Darussalam
430,Sarangani,PH,83.44,overcast clouds,5.4,125.46,Ballistic Islet
437,Grand-Lahou,CI,77.79,few clouds,5.14,-5.02,Hotel Beatitude de Grand Lahou
440,Greenville,US,78.8,clear sky,35.61,-77.37,Holiday Inn Express Greenville
444,Namatanai,PG,83.08,broken clouds,-3.67,152.43,Namatanai Hotel
448,Meulaboh,ID,76.28,light rain,4.14,96.13,Kost Pria
449,Bandar-E Lengeh,IR,80.6,clear sky,26.56,54.88,کافی نت پارس
450,Luis Correia,BR,80.29,few clouds,-2.88,-41.67,Hotel Amarração
461,Bilma,NE,80.78,clear sky,18.69,12.92,Expeditions Ténére voyages
465,Farmington,US,78.8,clear sky,36.73,-108.22,Courtyard by Marriott Farmington
466,Neiafu,TO,80.6,scattered clouds,-18.65,-173.98,Mystic Sands
468,Kassala,SD,81.43,clear sky,15.45,36.4,Amassi Hotel Gash
469,Maryville,US,78.8,few clouds,35.76,-83.97,Holiday Inn Express & Suites Alcoa (Knoxville Airport)
472,Itarema,BR,79.77,broken clouds,-2.92,-39.92,Windvillage
