City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
188,Omsukchan,RU,62.53,155.8,12.76,90,0,6.96,clear sky
189,Iqaluit,CA,63.75,-68.51,32.0,94,75,8.05,broken clouds
190,College,US,64.86,-147.8,26.01,85,90,3.36,overcast clouds
191,Tecoanapa,MX,16.52,-98.75,85.39,71,99,7.76,overcast clouds
192,Edeleny,HU,48.3,20.73,44.01,93,75,1.12,broken clouds
193,Hambantota,LK,6.12,81.12,78.8,94,40,6.93,scattered clouds
194,Lerwick,GB,60.15,-1.15,46.4,75,100,21.92,overcast clouds
195,Ust-Ishim,RU,57.69,71.17,31.62,97,92,4.54,overcast clouds
196,Neyshabur,IR,36.21,58.8,50.05,49,0,2.53,clear sky
197,Uarini,BR,-2.99,-65.11,73.4,94,90,3.36,moderate rain
198,Uddevalla,SE,58.35,11.94,52.0,93,100,10.29,light rain
199,Urengoy,RU,65.97,78.37,18.37,98,77,7.4,broken clouds
200,Mount Isa,AU,-20.73,139.5,82.4,45,6,4.7,clear sky
201,The Pas,CA,53.83,-101.25,30.2,63,90,11.41,overcast clouds
202,Arlit,NE,18.74,7.39,89.08,12,10,9.84,clear sky
203,Masakin,TN,35.73,10.58,68.0,72,0,10.29,clear sky
204,Senno,RU,59.53,33.92,32.0,92,65,5.5,broken clouds
205,Sur,OM,22.57,59.53,74.16,62,96,6.73,overcast clouds
206,Hasaki,JP,35.73,140.83,55.4,93,75,5.82,light rain
207,Kavaratti,IN,10.57,72.64,80.74,78,100,15.97,overcast clouds
208,Solnechnyy,RU,50.72,136.63,41.76,92,100,5.26,light rain
209,Srednekolymsk,RU,67.45,153.68,12.88,91,22,4.65,few clouds
210,Iquitos,PE,-3.75,-73.25,84.2,74,40,3.36,scattered clouds
211,Saint-Augustin,CA,51.23,-58.65,41.63,65,76,4.56,broken clouds
212,Puerto Maldonado,PE,-12.6,-69.18,76.64,80,77,3.47,light rain
213,Ishigaki,JP,24.34,124.16,78.8,100,75,5.82,light intensity shower rain
214,Tongling,CN,30.95,117.78,55.67,86,94,0.63,light rain
215,Narsaq,GL,60.92,-46.05,32.0,90,100,3.36,light snow
216,Benghazi,LY,32.12,20.07,69.46,49,5,6.26,clear sky
217,Topolobampo,MX,25.6,-109.05,97.0,44,5,14.99,clear sky
218,Severo-Yeniseyskiy,RU,60.37,93.04,34.63,97,100,6.38,overcast clouds
219,Ambulu,ID,-8.35,113.61,75.25,88,100,2.77,overcast clouds
220,Cayambe,EC,0.05,-78.13,64.4,72,75,11.41,broken clouds
221,Methoni,GR,36.82,21.7,64.99,87,20,3.83,few clouds
222,Djibo,BF,14.1,-1.63,91.78,20,28,7.94,scattered clouds
223,Mirador,BR,-6.37,-44.36,85.41,26,33,2.51,scattered clouds
224,Teguldet,RU,57.31,88.17,38.25,80,100,7.36,overcast clouds
225,Nuuk,GL,64.18,-51.72,30.2,100,75,10.29,broken clouds
226,Caranavi,BO,-15.82,-67.55,68.99,91,79,1.81,moderate rain
227,Klaksvik,FO,62.23,-6.59,37.4,86,50,1.12,scattered clouds
228,Kuytun,RU,54.34,101.5,29.75,92,73,5.73,broken clouds
229,Santa Isabel Do Rio Negro,BR,-0.41,-65.02,83.86,66,70,2.68,moderate rain
230,Oktyabrskiy,RU,54.48,53.47,30.56,94,62,10.96,broken clouds
